Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Open Access,Source,EID
"Gao Y., Hu Y., Liu X., Zhang H.","57196280682;56580618100;35208483000;57169423400;","Can Public R&D Subsidy Facilitate Firms’ Exploratory Innovation? The Heterogeneous Effects between Central and Local Subsidy Programs",2021,"Research Policy","50","4","104221","","",,27,"10.1016/j.respol.2021.104221","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101066073&doi=10.1016%2fj.respol.2021.104221&partnerID=40&md5=13de8dd2ddd58be4c9bc509e767d5c08","Public R&D subsidy is a commonly adopted policy instrument to promote firms’ exploratory innovation that encourages novel knowledge learning. Under the multi-level institutional settings such as China, however, it is unclear in current literature as to whether central and local-level governmental R&D subsidy programs exert heterogeneous influences on recipient firms’ exploratory innovation. By employing an exclusive panel data of manufacturing firms in Jiangsu Province, this study investigates the heterogeneous effects of central and local R&D subsidies on firms’ exploratory innovation. Considering that regional innovation contexts may influence the learning and innovation of subsidy recipients, we further test the interaction effects of specialized industrial agglomeration and R&D subsidies. We find that R&D subsidies in general do promote firms’ exploratory innovation, and the local R&D subsidy exhibits a more salient effect. In addition, the positive effect of subsidies is stronger for the recipients in a highly specialized industrial agglomeration. This study contributes to R&D subsidy literature and extends our knowledge on the different roles of central and local governments in firms’ learning behaviors and technological upgrading. © 2021 Elsevier B.V.",Article,"Final","",Scopus,2-s2.0-85101066073
"Xu X., Hu W., Liu W., Wang D., Huang Q., Huang R., Chen Z.","57205534107;24921323300;57193691954;56763030100;57203888710;57195415141;56515561100;","Risk-based scheduling of an off-grid hybrid electricity/hydrogen/gas/ refueling station powered by renewable energy",2021,"Journal of Cleaner Production","315",,"128155","","",,11,"10.1016/j.jclepro.2021.128155","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109437255&doi=10.1016%2fj.jclepro.2021.128155&partnerID=40&md5=0ecbcef8d0f02e534427cd033962544c","Making full use of renewable energy to supply clean energy for transportation sector can effectively reduce environmental pollution and realize the sustainable development. A hybrid electricity/hydrogen/gas/refueling station (EHGRS) powered by renewable energy in an off-grid region is proposed. It supplies electricity for electric vehicles (EVs), and hydrogen for hydrogen fuel cell vehicles (HFCVs) and produces natural gas for natural gas vehicles (NGVs) simultaneously. A hybrid stochastic/information gap decision theory (IGDT) optimization method is employed for the scheduling problem of the hybrid EHGRS in an uncertain environment. The uncertainties of wind and photovoltaic (PV) power is modelled via scenarios, while the uncertainties of the demands of EVs, HFCVs and NGVs, depending on human behavior, are formulated with a bi-level IGDT method without knowing the accurate distribution information. The work aims to find the maximum expected profits of the hybrid EHGRS. Two different scheduling strategies, i.e. risk-averse and risk-seeker, with two contradictory attitudes under the uncertain demands are proposed. Results indicate that 1) The proposed hybrid EHGRS can simultaneously provide different fuels to EVs, HFCVs and NGVs. 2) Under the same condition, the profit for the risk-averse scheduling is decreased and the risk-seeker scheduling is increased, compared to the results obtained by the pure stochastic optimization. © 2021 Elsevier Ltd",Article,"Final","",Scopus,2-s2.0-85109437255
"Xu X., Hu W., Liu W., Wang D., Huang Q., Chen Z.","57205534107;24921323300;57193691954;56763030100;57203888710;56515561100;","Study on the economic benefits of retired electric vehicle batteries participating in the electricity markets",2021,"Journal of Cleaner Production","286",,"125414","","",,10,"10.1016/j.jclepro.2020.125414","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097913846&doi=10.1016%2fj.jclepro.2020.125414&partnerID=40&md5=a5327d83e279a969808aedd33892c925","The lithium-ion batteries of battery electric vehicles are generally replaced when their capacity decays below 80% of the rated capacity. In this way, a large number of retired electric vehicle batteries (REVB) will be produced in a short time and cause new environmental pollution if REVB are not treated properly. To address this problem, one of the major solutions is to realize the echelon utilization of REVB based on the requirements of different application scenarios. Therefore, this study investigates the economic benefits of REVB participating in different Danish electricity markets. The objective function maximizes the profit in the different markets with considering REVB life loss cost in the operational process. Rainflow counting method is employed to accurately estimate the REVB life loss cost, leading to a strong nonlinearity of the optimization problem. Afterward, simulated annealing based particle swarm optimization (SAPSO) method is used to solve the nonlinear problem and find the optimal operational strategies of the REVB. Finally, a case study with considering different situations is provided to analyze the economic benefits of applying REVB in different markets. The results reveal: 1) SAPSO method performs best in finding the optimal results compared with particle swarm optimization and simulated annealing methods, and 2) It is more likely and beneficial to invest in REVB to participate in the regulation market than the day-ahead market. This significance of the study can be summarized as: 1) Theoretically, apart from proposing a simple, cheap and eco-friendly green strategy, i.e., the echelon utilization of REVB in Danish electricity market, we advance the knowledge and call for attention about under which conditions that performing a green strategy can allow environmental-economic benefits simultaneously achievable. 2) The study provides new business opportunities for energy storage and new energy industries, and can help to realize sustainable development to improve people's life and environmental quality. © 2020 Elsevier Ltd",Article,"Final","",Scopus,2-s2.0-85097913846
"Saabye H., Kristensen T.B., Wæhrens B.V.","57219656715;57213084303;22837185500;","Real-time data utilization barriers to improving production performance: An in-depth case study linking lean management and industry 4.0 from a learning organization perspective",2020,"Sustainability (Switzerland)","12","21","8757","1","21",,10,"10.3390/su12218757","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094607941&doi=10.3390%2fsu12218757&partnerID=40&md5=916d024f9d6d85f120da3d7012c139ba","This study presents empirical evidence for the ongoing discussion about the link between Lean Management (LM) and industry 4.0 (I4.0) by exploring a non-technical perspective on how manufacturers can capitalize on their technological investments. The paper, therefore, studies the link between LM and I4.0 from a learning organization (LO) perspective by examining the implementation, commissioning, and utilization of a real-time operational data gathering system at a Danish building material manufacturer. This six months in-depth case study finds that for the manufacturer to utilize real-time operational data from a LO perspective, several barriers must be addressed: problem solving that is not initiated by operators, operators who do not have second-order problem-solving abilities, operators who perceive the new real-time data technology as coercive, poor learning environments and processes, and a lack of leadership that supports learning. This study can help practitioners understand the importance of balance, the prevalent technocentric focus when implementing new I4.0 technologies with a LO focus. Furthermore, the study provides practitioners with a list of specific barriers from a LO perspective to be mindful of when aiming to combine LM and I4.0 to improve production performance. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85094607941
"Crovini C., Ossola G., Britzelmaier B.","57200919718;6602427174;23471680600;","How to reconsider risk management in SMEs? An Advanced, Reasoned and Organised Literature Review",2021,"European Management Journal","39","1",,"118","134",,9,"10.1016/j.emj.2020.11.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096819200&doi=10.1016%2fj.emj.2020.11.002&partnerID=40&md5=a944250b858d69eed58414a1da0688cd","The purpose of this paper is two-fold: to reconsider the fundamental role of risk management (RM) in small and medium enterprises (SMEs) by identifying and critically analysing the most important international works; and to define opportunities for further studies by suggesting a different approach to study the topic. This research is based on a new hybrid method developed by the authors, called Advanced, Reasoned and Organised (ARO) literature review, which improves the quality of literature reviews by integrating the systematic review for quantitative papers, the meta-synthesis for qualitative research and the critical interpretative analysis. Forty-eight articles were included in the literature review. Bibliometric and cluster analyses were carried out. Two hypotheses were applied as filters in the interpretative synthesis of the content and guided the analysis to answer two research questions. The findings underline that RM in SMEs is still a ‘spot’ subject as they put little effort into the risk identification, assessment and monitoring. The lack of procedures and strategies is due to the lack of risk mindfulness and knowledge, and it is related to the managers’ and owners’ risk attitudes. It is fundamental to understand why risk procedures are not implemented and to find a way to raise awareness of the potential benefits of risk and control measures. The topic is current, and the multidisciplinary perspective and mixed-method approach enhance both theoretical and practical contributions for academics and SME owners. © 2020 Elsevier Ltd",Article,"Final","",Scopus,2-s2.0-85096819200
"Andersen E.S.","7202323056;","Schumpeter and regional innovation",2011,"Handbook of Regional Innovation and Growth",,,,"32","42",,8,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881869587&partnerID=40&md5=e16c385a4c9a6850f210159da9d6197e",[No abstract available],Book Chapter,"Final","",Scopus,2-s2.0-84881869587
"Karam A., Reinau K.H., Østergaard C.R.","56808965600;55881012800;57214679242;","Horizontal collaboration in the freight transport sector: barrier and decision-making frameworks",2021,"European Transport Research Review","13","1","53","","",,7,"10.1186/s12544-021-00512-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114693206&doi=10.1186%2fs12544-021-00512-3&partnerID=40&md5=d23655fc5eac4e23d3cebdb759168152","In the freight transport sector, competing companies horizontally collaborate through establishing Collaborative Transport Networks (CTNs). Fruitful implementation of CTNs will leverage environmental and socio-economic goals of sustainable development in the freight transport sector. The benefits of CTNs in horizontal collaborative settings have been widely demonstrated through several modelling approaches. However, in practice, the real applications of CTNs have been challenging and most did not achieve satisfactory performances. Some studies have addressed this issue by identifying different barriers to CTN implementation. However, a conceptual framework for the barriers is not well-established. In addition, the literature lacks a decision-making framework for the CTN implementation which considers the different barriers. To address this gap, this paper conducted a literature review of the barriers to CTN implementation. In total, 31 different barriers were identified. A conceptual barrier framework is developed by grouping the 31 barriers into five categories: the business model, information sharing, the human factors, the Collaborative Decision Support Systems (CDSSs), and the market. The paper additionally proposes a stage-gate model integrating the conceptual barrier framework into the CTN implementation decision-making process. The current work contributes to the existing literature by developing both theoretical and practical understandings of the barriers to implementing CTNs and will support decision makers in CTN implementation to maximize the CTN benefits and minimize the risk of CTN failure. © 2021, The Author(s).",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85114693206
"Zheng Y., Sun X., Zhang C., Wang D., Mao J.","56038150600;57285029700;57204761813;56763030100;57221780805;","Can Emission Trading Scheme Improve Carbon Emission Performance? Evidence From China",2021,"Frontiers in Energy Research","9",,"759572","","",,7,"10.3389/fenrg.2021.759572","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116364678&doi=10.3389%2ffenrg.2021.759572&partnerID=40&md5=f9022b56eb1092b889e0c76c1a9bfce5","This paper explores the effect of China’s emission trading scheme (ETS) pilot policy implemented during 2013-2014 on carbon emission performance. Adopting the Difference-in-Difference (DID) model, we find that: 1) China’s ETS pilot policy can significantly improve the carbon emission performance of listed companies in the pilot provinces. 2) The heterogeneity analysis shows that the carbon emission performance of listed companies in the eastern coastal pilot areas has improved significantly, which is not significant in the central and western pilot areas. 3) We find that China’s ETS pilot policy can significantly improve innovation capabilities of listed companies, suggesting that innovation is a channel for the impact of the China’s ETS pilot policy on carbon emission performance in the pilot provinces. Overall, our study shows that ETS pilot policy has played a governance role in China and improved carbon emission performance. We further highlight some important policy implications with respect to helping companies save energy and reduce emissions, and promoting the further improvement of China’s ETS pilot policy. © Copyright © 2021 Zheng, Sun, Zhang, Wang and Mao.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85116364678
"Hamdan H.A.M., Andersen P.H., de Boer L.","57211787264;35271298800;7003770618;","Stakeholder collaboration in sustainable neighborhood projects—A review and research agenda",2021,"Sustainable Cities and Society","68",,"102776","","",,7,"10.1016/j.scs.2021.102776","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101315129&doi=10.1016%2fj.scs.2021.102776&partnerID=40&md5=4db9ed073ba750ed6c09c112e468d156","Sustainable neighborhood (SN) projects are crucial to alleviate the poor performance in energy consumption and carbon emissions of built environments. However, with several additional interests and priorities relating to sustainability, the job of finding common ground in collaboration becomes more complex compared to conventional housing and neighborhood projects. Moreover, the type of stakeholders involved and the issues they are concerned with change as the project develops. This paper offers a comprehensive overview of empirical-based research found in the intersection between stakeholder collaboration and sustainable neighborhood projects. Our comprehensive systematic review of the past 20 years’ extant literature revealed 20 main themes impacting stakeholder collaboration spread over the stages of project development. Building on the various themes, we summarized several factors that support collaboration capacity in SN projects, and that can ultimately lead to different trajectories for sustainability outcomes over time. Furthermore, the review revealed several potential avenues for research, which may help improve our understanding of the mechanics and interaction of stakeholder involvement in SN projects. © 2021 The Author(s)",Review,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85101315129
"Coudounaris D.N.","35271722300;","The internationalisation process of UK SMEs: exporting and non-exporting behaviours based on a four forces behavioural model",2021,"Review of International Business and Strategy","31","2",,"217","256",,7,"10.1108/RIBS-06-2019-0075","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100190207&doi=10.1108%2fRIBS-06-2019-0075&partnerID=40&md5=1e6df1f68a69f4cb65b41962e73edd5d","Purpose: This study aims to develop a new internationalisation model to describe the exporting and non-exporting behaviours of small and medium sized enterprises (SMEs) and then applying it to a sample of UK SMEs. The conceptual model consists of four forces leading to a successful business. Design/methodology/approach: The sample is a stratified one taken from KOMPASS directory and focussing on the Greater Manchester area. In total, 250 firms were chosen to be the population of this survey. In total, 110 surveys were received by email i.e. 24 non-exporters and 86 exporters that were fully completed. Findings: The four forces of the model include the non-exporting activity, the activity before and after the first export order, differences and similarities between non-exporters and exporters and the regular exporting activity. This model’s findings demonstrate important empirical determinants related to four forces, which, in turn, shape the successful exporting activity. Originality/value: The empirical evidence from the study suggests that the major differences between non-exporters and exporters, which include the differences in management perceptions towards exporting, and the differences and similarities of firm and management characteristics, explain only to some degree what constitutes successful exporting behaviour. The model is considered useful for smaller businesses located in the UK. The study highlights the importance of firms before and after the first export order, which provides insights for managers of firms about going through with the first export order rather than withdrawing from this effort. The study reveals the motivations for exporting, the timing, the modes through which firms export, firms’ management characteristics and attitudinal differences between exporters and non-exporters, which are essential for practitioners. © 2020, Emerald Publishing Limited.",Article,"Final","",Scopus,2-s2.0-85100190207
